geojson;SOVEREIGNT;SOV_A3;ADMIN;GEOUNIT;GU_A3;SU_DIF;SUBUNIT;SU_A3;BRK_DIFF;NAME;NAME_LONG;BRK_A3;BRK_NAME;BRK_GROUP;ABBREV;POSTAL;FORMAL_EN;FORMAL_FR;NAME_CIAWF;NOTE_ADM0;NOTE_BRK;NAME_SORT;NAME_ALT;MAPCOLOR7;MAPCOLOR8;MAPCOLOR9;MAPCOLOR13;POP_EST;POP_RANK;GDP_MD_EST;POP_YEAR;LASTCENSUS;GDP_YEAR;ECONOMY;INCOME_GRP;WIKIPEDIA;FIPS_10_;ISO_A2;ISO_A3;ISO_A3_EH;ISO_N3;UN_A3;WB_A2;WB_A3;WOE_ID;WOE_ID_EH;WOE_NOTE;ADM0_A3_IS;ADM0_A3_US;ADM0_A3_UN;ADM0_A3_WB;CONTINENT;REGION_UN;SUBREGION;REGION_WB;NAME_LEN;LONG_LEN;ABBREV_LEN;TINY;HOMEPART;MIN_ZOOM;MIN_LABEL;MAX_LABEL;NE_ID;WIKIDATAID;NAME_AR;NAME_BN;NAME_DE;NAME_EN;NAME_ES;NAME_FR;NAME_EL;NAME_HI;NAME_HU;NAME_ID;NAME_IT;NAME_JA;NAME_KO;NAME_NL;NAME_PL;NAME_PT;NAME_RU;NAME_SV;NAME_TR;NAME_VI;NAME_ZH
"{""type"":""MultiPolygon"",""coordinates"":[[[[-8.665589565454809,27.65642588959235],[-8.665124477564191,27.58947907155822],[-8.684399786809053,27.395744126896],[-8.6872936670174,25.8810562199889],[-11.96941891117116,25.93335276946826],[-11.93722449385332,23.37459422453616],[-12.87422156416957,23.28483226164517],[-13.11875444177471,22.77122020109625],[-12.92910193526353,21.32707062426756],[-16.84519365077399,21.33332347257487],[-17.06342322434257,20.99975210213082],[-17.02042843267577,21.42231028898157],[-17.00296179856108,21.42073415779657],[-14.75095455571353,21.50060008390366],[-14.63083268885107,21.8609398462749],[-14.22116777185725,22.31016307218816],[-13.89111039880904,23.6910090194593],[-12.50096269372537,24.7701162785782],[-12.03075883630162,26.03086619720306],[-11.71821977380035,26.10409170176062],[-11.392554897497,26.88342397715439],[-10.55126257978527,26.99080760345688],[-10.18942420087758,26.8609447291074],[-9.735343390328879,26.8609447291074],[-9.41303748212448,27.08847606048857],[-8.794883999049077,27.1206963160225],[-8.817828334986672,27.65642588959235],[-8.665589565454809,27.65642588959235]]]]}";Western Sahara;SAH;Western Sahara;Western Sahara;SAH;0;Western Sahara;SAH;1;W. Sahara;Western Sahara;B28;W. Sahara;;W. Sah.;WS;Sahrawi Arab Democratic Republic;;Western Sahara;Self admin.;"Self admin.; Claimed by Morocco";Western Sahara;;4;7;4;4;603253;11;906.5;2017;-99;2007;7. Least developed region;5. Low income;-99;WI;EH;ESH;ESH;732;732;-99;-99;23424990;23424990;Exact WOE match as country;MAR;SAH;-99;-99;Africa;Africa;Northern Africa;Middle East & North Africa;9;14;7;-99;1;4.7;6;11;1159321223;Q6250;الصحراء الغربية;পশ্চিম সাহারা;Westsahara;Western Sahara;Sahara Occidental;Sahara occidental;Δυτική Σαχάρα;पश्चिमी सहारा;Nyugat-Szahara;Sahara Barat;Sahara Occidentale;西サハラ;서사하라;Westelijke Sahara;Sahara Zachodnia;Saara Ocidental;Западная Сахара;Västsahara;Batı Sahra;Tây Sahara;西撒哈拉
"{""type"":""MultiPolygon"",""coordinates"":[[[[-11.51394283695059,12.44298757572941],[-11.46789913577852,12.75451894780097],[-11.55339779300543,13.14121369064106],[-11.92771603031161,13.42207510014739],[-12.12488745772125,13.99472748458978],[-12.1707502913803,14.6168342147355],[-11.83420752607946,14.79909699142893],[-11.66607825361785,15.38820831955629],[-11.3490950179395,15.41125600835847],[-10.65079138837941,15.13274587652142],[-10.08684648277821,15.33048574468627],[-9.700255092802706,15.26410736740736],[-9.550238409859389,15.48649689377543],[-5.537744309908447,15.50168976486925],[-5.315277268891933,16.20185374599184],[-5.488522508150439,16.32510203700796],[-5.971128709324248,20.64083344164762],[-6.453786586930335,24.95659068450342],[-4.923337368174231,24.974574082941],[-1.550054897457613,22.79266592049738],[1.823227573259032,20.61080943448604],[2.06099083823392,20.14223338467948],[2.683588494486429,19.85623017016011],[3.1466610042539,19.69357859952144],[3.158133172222705,19.05736420336003],[4.267419467800039,19.15526520433699],[4.270209995143802,16.85222748460121],[3.723421665063483,16.18428375901261],[3.638258904646477,15.56811981858045],[2.749992709981484,15.40952484787669],[1.385528191746858,15.32356110275917],[1.015783318698482,14.96818227788799],[0.374892205414682,14.92890818934613],[-0.26625729003058,14.92430898687214],[-0.515854458000348,15.11615774175572],[-1.066363491205664,14.97381500900776],[-2.001035122068771,14.55900828700089],[-2.191824510090385,14.24641754806735],[-2.967694464520577,13.79815033615151],[-3.10370683431276,13.54126679122859],[-3.522802700199861,13.33766164799861],[-4.006390753587226,13.47248545984811],[-4.28040503581488,13.22844350834974],[-4.427166103523803,12.54264557540429],[-5.220941941743121,11.71385895430722],[-5.197842576508648,11.37514577885014],[-5.470564947929006,10.95126984297604],[-5.404341599946974,10.37073680260914],[-5.816926235365287,10.22255463301219],[-6.050452032892267,10.09636078535544],[-6.205222947606431,10.52406077721913],[-6.493965013037268,10.41130280195827],[-6.666460944027548,10.43081065514844],[-6.850506557635057,10.13899384199623],[-7.622759161804809,10.14723623294679],[-7.899589809592372,10.29738210697082],[-8.029943610048619,10.20653493900171],[-8.33537716310974,10.49481191654193],[-8.282357143578281,10.79259735762384],[-8.407310756860028,10.90925690352276],[-8.620321010767128,10.81089081465518],[-8.581305304386774,11.1362456323648],[-8.376304897484914,11.39364594161062],[-8.786099005559464,11.8125609399847],[-8.90526485842453,12.08835805912643],[-9.127473517279583,12.30806041101533],[-9.327616339546012,12.33428620040345],[-9.567911749703214,12.19424306889247],[-9.890992804392013,12.06047862390497],[-10.16521379234883,11.84408356368274],[-10.59322384280628,11.92397532800598],[-10.87082963707821,12.17788747807211],[-11.03655595543826,12.21124461511651],[-11.29757361494451,12.07797109623577],[-11.45616858564827,12.07683421472533],[-11.51394283695059,12.44298757572941]]]]}";Mali;MLI;Mali;Mali;MLI;0;Mali;MLI;0;Mali;Mali;MLI;Mali;;Mali;ML;Republic of Mali;;Mali;;;Mali;;1;4;1;7;17885245;14;38090;2017;2009;2016;7. Least developed region;5. Low income;-99;ML;ML;MLI;MLI;466;466;ML;MLI;23424891;23424891;Exact WOE match as country;MLI;MLI;-99;-99;Africa;Africa;Western Africa;Sub-Saharan Africa;4;4;4;-99;1;0;3;7;1159321063;Q912;مالي;মালি;Mali;Mali;Malí;Mali;Μάλι;माली;Mali;Mali;Mali;マリ共和国;말리;Mali;Mali;Mali;Мали;Mali;Mali;Mali;马里共和国
"{""type"":""MultiPolygon"",""coordinates"":[[[[-8.684399786809053,27.395744126896],[-8.665124477564191,27.58947907155822],[-8.665589565454809,27.65642588959235],[-8.674116176782974,28.84128896739657],[-7.059227667661958,29.5792284205246],[-6.060632290053774,29.73169973400169],[-5.242129278982787,30.00044302013559],[-4.859646165374471,30.50118764904384],[-3.690441046554724,30.89695160575115],[-3.647497931320146,31.63729401298067],[-3.068980271812648,31.72449799247321],[-2.616604783529567,32.09434621838619],[-1.30789913573787,32.2628889023061],[-1.124551153966308,32.65152151135713],[-1.388049282222596,32.86401500094137],[-1.733454555661467,33.91971283623212],[-1.792985805661715,34.5279186060913],[-2.169913702798624,35.16839630791668],[-1.208602871089056,35.71484874118709],[-0.127454392894606,35.8886624212008],[0.503876580415209,36.30127289483527],[1.466918572606545,36.6056470810344],[3.161698846050825,36.78390493422522],[4.81575809084913,36.86503693292345],[5.320120070017794,36.71651886651662],[6.261819695672613,37.11065501560673],[7.330384962603971,37.11838064223437],[7.737078484741005,36.88570750584021],[8.420964389691676,36.94642731378316],[8.217824334352315,36.43317698826028],[8.376367628623768,35.47987600355594],[8.140981479534304,34.65514598239379],[7.524481642292244,34.09737641045146],[7.612641635782182,33.34411489514896],[8.430472853233368,32.74833730725595],[8.439102817426118,32.50628489840082],[9.055602654668149,32.10269196220129],[9.482139926805274,30.30755605724618],[9.805634392952356,29.42463837332337],[9.859997999723447,28.95998973237101],[9.683884718472768,28.1441738957792],[9.756128370816782,27.6882585718842],[9.629056023811074,27.14095347748092],[9.716285841519664,26.51220632578565],[9.319410841518163,26.09432485605745],[9.910692579801776,25.36545461679679],[9.94826134607797,24.93695364023251],[10.30384687667836,24.37931325937091],[10.77136355962292,24.56253205006175],[11.560669386449,24.09790924732551],[11.99950564947161,23.47166840259645],[8.572893100629784,21.56566071215914],[5.677565952180686,19.60120697679971],[4.267419467800039,19.15526520433699],[3.158133172222705,19.05736420336003],[3.1466610042539,19.69357859952144],[2.683588494486429,19.85623017016011],[2.06099083823392,20.14223338467948],[1.823227573259032,20.61080943448604],[-1.550054897457613,22.79266592049738],[-4.923337368174231,24.974574082941],[-8.684399786809053,27.395744126896]]]]}";Algeria;DZA;Algeria;Algeria;DZA;0;Algeria;DZA;0;Algeria;Algeria;DZA;Algeria;;Alg.;DZ;People's Democratic Republic of Algeria;;Algeria;;;Algeria;;5;1;6;3;40969443;15;609400;2017;2008;2016;6. Developing region;3. Upper middle income;-99;AG;DZ;DZA;DZA;12;12;DZ;DZA;23424740;23424740;Exact WOE match as country;DZA;DZA;-99;-99;Africa;Africa;Northern Africa;Middle East & North Africa;7;7;4;-99;1;0;3;7;1159320565;Q262;الجزائر;আলজেরিয়া;Algerien;Algeria;Argelia;Algérie;Αλγερία;अल्जीरिया;Algéria;Aljazair;Algeria;アルジェリア;알제리;Algerije;Algieria;Argélia;Алжир;Algeriet;Cezayir;Algérie;阿尔及利亚
"{""type"":""MultiPolygon"",""coordinates"":[[[[-2.169913702798624,35.16839630791668],[-1.792985805661715,34.5279186060913],[-1.733454555661467,33.91971283623212],[-1.388049282222596,32.86401500094137],[-1.124551153966308,32.65152151135713],[-1.30789913573787,32.2628889023061],[-2.616604783529567,32.09434621838619],[-3.068980271812648,31.72449799247321],[-3.647497931320146,31.63729401298067],[-3.690441046554724,30.89695160575115],[-4.859646165374471,30.50118764904384],[-5.242129278982787,30.00044302013559],[-6.060632290053774,29.73169973400169],[-7.059227667661958,29.5792284205246],[-8.674116176782974,28.84128896739657],[-8.665589565454809,27.65642588959235],[-8.817828334986672,27.65642588959235],[-8.794883999049077,27.1206963160225],[-9.41303748212448,27.08847606048857],[-9.735343390328879,26.8609447291074],[-10.18942420087758,26.8609447291074],[-10.55126257978527,26.99080760345688],[-11.392554897497,26.88342397715439],[-11.71821977380035,26.10409170176062],[-12.03075883630162,26.03086619720306],[-12.50096269372537,24.7701162785782],[-13.89111039880904,23.6910090194593],[-14.22116777185725,22.31016307218816],[-14.63083268885107,21.8609398462749],[-14.75095455571353,21.50060008390366],[-17.00296179856108,21.42073415779657],[-17.02042843267577,21.42231028898157],[-16.97324784999324,21.88574453377498],[-16.58913692876768,22.15823436125009],[-16.26192175949563,22.67933950448127],[-16.32641394699589,23.01776845956089],[-15.98261064295803,23.72335846607404],[-15.42600379074218,24.35913361256103],[-15.08933183436073,24.52026072844699],[-14.82464514816166,25.10353261972534],[-14.80092566573972,25.63626496022232],[-14.43993994796483,26.25441844329765],[-13.77380489750646,26.61889232025231],[-13.13994177901435,27.64014781342052],[-13.12161336991476,27.65414767171984],[-12.61883663578311,28.03818553314869],[-11.68891923669076,28.14864390717252],[-10.9009569971044,28.83214223888092],[-10.39959225100864,29.09858592377781],[-9.564811163765683,29.93357371674989],[-9.814718390329176,31.17773550060906],[-9.434793260119363,32.03809642183648],[-9.300692918321886,32.56467926689066],[-8.657476365585012,33.24024526624242],[-7.654178432638219,33.69706492770251],[-6.912544114601417,34.11047638603747],[-6.244342006851411,35.14586538343752],[-5.92999426921989,35.75998810479399],[-5.193863491222032,35.75518219659085],[-4.591006232105144,35.33071198174559],[-3.640056525070065,35.399855048152],[-2.604305792644084,35.17909332940115],[-2.169913702798624,35.16839630791668]]]]}";Morocco;MAR;Morocco;Morocco;MAR;0;Morocco;MAR;0;Morocco;Morocco;MAR;Morocco;;Mor.;MA;Kingdom of Morocco;;Morocco;;;Morocco;;2;2;3;9;33986655;15;282800;2017;2004;2016;6. Developing region;4. Lower middle income;-99;MO;MA;MAR;MAR;504;504;MA;MAR;23424893;23424893;Exact WOE match as country;MAR;MAR;-99;-99;Africa;Africa;Northern Africa;Middle East & North Africa;7;7;4;-99;1;0;3;8;1159321035;Q1028;المغرب;মরক্কো;Marokko;Morocco;Marruecos;Maroc;Μαρόκο;मोरक्को;Marokkó;Maroko;Marocco;モロッコ;모로코;Marokko;Maroko;Marrocos;Марокко;Marocko;Fas;Maroc;摩洛哥
"{""type"":""MultiPolygon"",""coordinates"":[[[[25,22],[25.00000000000011,20.00304000000005],[23.85000000000013,20.00000000000005],[23.83766000000014,19.5804700000001],[19.84926000000007,21.49509000000006],[15.86085000000008,23.40971999999999],[14.85130000000003,22.86295000000012],[14.14387088385524,22.49128896737113],[13.58142459479046,23.04050608976928],[11.99950564947161,23.47166840259645],[11.560669386449,24.09790924732551],[10.77136355962292,24.56253205006175],[10.30384687667836,24.37931325937091],[9.94826134607797,24.93695364023251],[9.910692579801776,25.36545461679679],[9.319410841518163,26.09432485605745],[9.716285841519664,26.51220632578565],[9.629056023811074,27.14095347748092],[9.756128370816782,27.6882585718842],[9.683884718472768,28.1441738957792],[9.859997999723447,28.95998973237101],[9.805634392952356,29.42463837332337],[9.482139926805274,30.30755605724618],[9.970017124072854,30.53932485607524],[10.05657514816169,30.96183136649352],[9.950225050505082,31.37606964774525],[10.63690148279948,31.76142080334575],[10.94478966639445,32.08181468355536],[11.43225345220369,32.36890310315287],[11.48878746913101,33.13699575452324],[12.66331000000002,32.79278000000005],[13.08326000000005,32.87882000000007],[13.91867999999999,32.71196000000009],[15.24563,32.26508000000006],[15.71393999999992,31.37625999999994],[16.61162000000001,31.18217999999996],[18.02108999999995,30.76356999999995],[19.08641,30.26639],[19.57404000000008,30.52582000000001],[20.05334999999996,30.98576000000002],[19.82033000000007,31.75179000000014],[20.13396999999992,32.2382],[20.85452000000009,32.70679999999998],[21.54298,32.84320000000002],[22.89576000000005,32.63857999999999],[23.23680000000001,32.19149000000004],[23.6091300000001,32.18725999999998],[23.9275,32.01667000000009],[24.92113999999992,31.89936],[25.16481999999999,31.56915],[24.80286999999998,31.08929],[24.95762,30.6616],[24.70007,30.04419],[25,29.23865452953345],[25,25.68249999636099],[25,22]]]]}";Libya;LBY;Libya;Libya;LBY;0;Libya;LBY;0;Libya;Libya;LBY;Libya;;Libya;LY;Libya;;Libya;;;Libya;;1;2;2;11;6653210;13;90890;2017;2006;2016;6. Developing region;3. Upper middle income;-99;LY;LY;LBY;LBY;434;434;LY;LBY;23424882;23424882;Exact WOE match as country;LBY;LBY;-99;-99;Africa;Africa;Northern Africa;Middle East & North Africa;5;5;5;-99;1;0;3;8;1159321017;Q1016;ليبيا;লিবিয়া;Libyen;Libya;Libia;Libye;Λιβύη;लीबिया;Líbia;Libya;Libia;リビア;리비아;Libië;Libia;Líbia;Ливия;Libyen;Libya;Libya;利比亚
